"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_23","HIST1H1B","RNASEH2A","PKMYT1","HIST1H3B","NCAPH","RRM2","TPX2","MKI67","NCAPG2","NCAPG","HIST1H2AJ","ASF1B","FANCI","NEIL3","CKAP2L","HIST1H2AH","PRC1","MYBL2","CENPF","KIFC1","HIST1H1E","HIST1H2AI","TK1","HAUS4","CDCA2","WDR34","UHRF1","ASPM","CLSPN","DHRS4L2","CEP55","CDCA8","CENPE","CCNB2","DIAPH3","BRCA2","RACGAP1","CDT1","ESCO2","TRIP13","HIST1H1D","HIST1H2AG","TIMELESS","HIST1H2AL","CLN6","MELK","TCF19","ZWINT","TYMS","LIG1"
"tnk_26","CXCL13","GZMB","HAVCR2","GNLY","CCL3","KLRD1","IFNG","GZMH","LAG3","HLA.DRA","PRF1","PHLDA1","PDCD1","PTMS","HLA.DRB1","DUSP4","ENTPD1","TIGIT","VCAM1","CTLA4","CD8A","RGS2","HLA.DQA1","FABP5","CTSW","ACP5","ZNF683","APOBEC3G","PAG1","HLA.DPB1","HLA.DPA1","SAMSN1","CCL4","CD27","CLEC2D","NKG7","HLA.DQB1","TNFRSF9","ETS1","MIR155HG","LYST","ITGAE","SIRPG","NDFIP2","CBLB","GALNT2","CD8B","RAB27A","CHST12","RHOB"
"tnk_29","JUND","IGKC","IGHA1","IGLC2","UBE2S","GNAS","SMAP2","ETS1","IGHA2","SOCS1","PNRC1","FAM107B","IGLC3","DDX24","ARL4C","DUSP2","AAK1","CYBA","CNOT6L","RGCC","GPR183","PHGR1","STK17A","CD3G","MZT2A","KLF2","TRAC","CD48","ELF1","SMCHD1","N4BP2L2","HNRNPH1","UBALD2","YPEL3","NEAT1","FKBP5","STK4","GLS","IL6ST","AC058791.1","NDUFA13","KRT10","BCL11B","NSMCE3","GADD45A","PDCD4","AKAP13","EVI2B","ZNF331","PRRC2C"
"tnk_32","TYROBP","GNLY","FCER1G","TRDC","KLRD1","CTSW","PRF1","GZMB","KLRF1","FCGR3A","KLRC1","NKG7","TXK","HOPX","CD247","CLIC3","MATK","SH2D1B","PLAC8","IL2RB","CMC1","FGFBP2","CCL3","TNFRSF18","LAT2","XCL2","ITGB1","KLF2","LITAF","AREG","FGR","IER2","IFITM3","KLRB1","MCTP2","ITGB2","SPON2","BIN2","XCL1","GZMH","APMAP","C1orf21","GSTP1","HAVCR2","EFHD2","ADGRG1","SAMD3","STARD3NL","CEBPD","APOBEC3G"
"tnk_33","TRGC2","ITGA1","METRNL","TLN1","PRPF4B","XIST","BPTF","IKZF3","BOD1L1","VPS13C","UBALD2","SRGAP3","PAK2","KMT2A","ANKRD11","RUNX3","NFIL3","ANKRD28","PIP4K2A","PTPN22","ZEB2","RAB8B","TMEM238","SLFN5","KLF13","ATRX","FAM107B","PTPRA","GLS","MXD4","PRKDC","ZNF292","AAK1","GPR171","CCND2","MBP","PREX1","SLK","GPR174","IVNS1ABP","IER5L","UBE2S","GPRIN3","GTF2I","SPRY1","TNRC6B","PPP1R12A","SYNRG","DNAJC21","CREBZF"
"tnk_35","LAYN","CCR8","LAIR2","FOXP3","CD177","GATA3","HLA.DPA1","MAGEH1","HLA.DRB1","SYNGR2","EPHX2","STAM","THADA","FBLN7","CADM1","ITGA4","IKZF2","TIGIT","FANK1","COL9A2","HLA.DQA1","ACP5","CD83","HLA.DPB1","HTATIP2","PRF1","SLAMF1","IL21R","IGFLR1","TNFRSF9","CUL9","APLP2","ACSL4","PELI1","IFITM1","PDE4D","DUSP4","TIAM1","CREB3L2","SIRPG","GK","LGALS1","ENTPD1","PMAIP1","IL2RA","ID3","LYST","HLA.DRB5","SELPLG","POLD4"
"tnk_38","BAG3","DNAJB4","NR4A1","ZFAND2A","CACYBP","DNAJA4","SERPINH1","RHOB","CHORDC1","FKBP4","GADD45B","RGS2","ATF3","DEDD2","EGR1","DOK2","MXD1","IER5","TNF","CDC42EP3","IER3","TNFSF14","UBE2S","CD83","ANKRD37","RGS16","ABHD3","KLF2","ID3","TSPYL2","NABP1","ERN1","NFKBIE","TIFA","SQSTM1","SERTAD1","CDKN1A","SOD2","C17orf67","PMAIP1","DUSP2","CLK1","MBNL2","DUSP5","GADD45G","TRAF1","H2AFX","IL2RG","TAGAP","STK17A"
"tnk_41","CD40LG","GZMB","FKBP5","MYO7A","HLA.DRB5","DAPK2","SRGAP3","CTSH","RUNX2","HLA.DRB1","GLUL","SMCO4","FABP5","HLA.DQA1","IL26","TMIGD2","CD4","GZMH","SOCS1","HLA.DPA1","KLRB1","AAK1","TGFBR2","CD96","GOLIM4","NCR3","CD82","PPM1M","GADD45G","SPOCK2","CXCL13","CRIP1","PTPRCAP","LTB","NR3C1","HTRA1","IFNG","MBP","RBL2","TBXAS1","CD6","SIRPG","LCP2","HLA.DPB1","RCSD1","STK17A","PAG1","MZT2A","TMEM173","DPP4"
"tnk_42","LST1","TMIGD2","NCR3","CCL20","TNFSF13B","IL4I1","AQP3","RORA","TNFRSF25","SLC4A10","CEBPD","ERN1","CTSH","PRR5","FKBP11","IFI44","TLE1","CA2","IL23R","ZBTB16","HPGD","RORC","CCR6","DPP4","CD40LG","RUNX2","PERP","ODF2L","MGAT4A","CXCR6","SPRY1","MYBL1","ATF3","ANKRD28","SLAMF1","MAF","GPR65","GYG1","YWHAH","ABCB1","SYTL2","PHACTR2","TTC39C","IL18RAP","RBMS1","IL12RB1","PBXIP1","IFI44L","IL26","MKNK1"
"tnk_44","BIRC5","UBE2C","CENPF","DLGAP5","AURKB","CENPA","ASPM","TOP2A","CCNB2","CDKN3","MKI67","CCNA2","GTSE1","CDC20","TPX2","MXD3","CCNB1","HMMR","CDCA3","KPNA2","NUSAP1","PLK1","HMGB3","TROAP","CENPE","CDCA8","UBE2S","CDK1","NUF2","KIF2C","CKS1B","RACGAP1","AURKA","CDC25B","H2AFX","CKS2","CDKN2D","TUBA1C","MAD2L1","KIF20B","KIF23","PTTG1","KIF22","CENPW","TACC3","KIFC1","TUBB4B","CEP55","CKAP2","PBK"
"tnk_50","IL6ST","TIGIT","PDCD1","NR3C1","ICA1","TOX","FKBP5","PASK","TNFSF8","FBLN7","TSHZ2","CTLA4","CD27","SMCO4","TIAM1","LIMS1","CD40LG","CORO1B","TBC1D4","IL6R","SESN3","SH2D1A","ITM2A","BTLA","TMEM243","SLC9A9","CD84","SIRPG","CXCL13","ALOX5AP","SESN1","LAT","ANKRD55","CD4","CNIH1","ELMO1","FAAH2","IKZF3","FABP5","CD200","ITGB2","SLA","LRMP","GK","CXCR5","DGKA","TCF7","AKAP13","MAGEH1","CH25H"
"tnk_51","CD40LG","TNFSF13B","CCR6","ERN1","AQP3","TTC39C","LGALS3","SCML4","FLT3LG","FKBP11","ANXA1","RBMS1","RUNX2","PTGER2","CD4","MYBL1","CAPG","DPP4","ADAM19","TNFRSF25","PERP","RCSD1","TC2N","SESN1","TMEM173","CTSH","PIM1","PTPN13","BCL2","SLAMF1","SOCS1","COTL1","AHNAK","KDSR","YWHAH","MAL","RORA","PTPRCAP","LRRFIP1","TRADD","MGAT4A","CMTM3","RGS14","PBX4","THEMIS","NCF4","TGFBR2","ANXA2","OSTF1","TSEN54"
"tnk_52","TYROBP","AREG","KIT","LINC00299","BST2","LST1","XCL1","TMIGD2","MPG","TNFRSF18","GSN","CAT","FCER1G","TNFSF11","CD74","KRT86","SPINK2","LTA4H","NR4A1","ID2","MAP3K8","TNFRSF4","BHLHE40","CTSW","TIMP1","KLRB1","PCDH9","ST3GAL1","XCL2","AFF3","ITM2C","IL4I1","CLIC1","PTGDR","AQP3","KRT81","RORC","TAGLN2","GSTP1","NCOA7","SRI","TLE1","CD83","VAMP8","TCIRG1","AHR","CAPG","FXYD7","TXK","IL23R"
"tnk_56","TRDC","FCER1G","TYROBP","TNFRSF18","KIR2DL4","TMIGD2","KLRC2","LAT2","KRT81","KRT86","TXK","KLRC1","HOPX","IL2RB","SLC16A3","CXXC5","STARD3NL","MATK","CD247","SH2D1B","B3GNT7","CCND2","ID3","CTSW","ZBTB16","MPG","S100A13","GNLY","ENTPD1","FGR","STMN1","ADGRG3","PHYKPL","CD160","FES","SLC25A39","AREG","CSF1","TRGC1","HAVCR2","CD151","SPRY1","PTP4A1","FUCA1","TRG.AS1","NCR1","KLRD1","UBASH3B","CEBPD","PLPP1"
"tnk_57","CENPF","BIRC5","ASPM","UBE2C","MKI67","CDKN3","TOP2A","CDC20","CCNB2","TPX2","CENPA","AURKB","CCNB1","DLGAP5","GTSE1","NUSAP1","TROAP","CKS1B","HMMR","KPNA2","CCNA2","CENPE","PLK1","PTTG1","HMGB3","CDCA8","STMN1","CKS2","CDK1","CEP55","MXD3","NUF2","CDC25B","KIF20B","MAD2L1","TUBA1C","UBE2S","CDCA3","SMC4","KIF22","RACGAP1","AURKA","TUBB4B","KIF2C","KIF23","CENPW","KIFC1","CDKN2D","MZT1","TACC3"
"tnk_66","PTPRCAP","TGFBR2","ARRDC2","TNFSF8","FCMR","KLF3","LEF1","NDFIP1","IL6ST","ABLIM1","FAAH2","CD55","STK17A","ICOS","NSMCE3","SCML1","CD28","HNRNPL","PTP4A1","DUSP2","ACTN1","SKIL","AREG","RNF138","JCHAIN","SSH2","PELI1","KLF2","SESN1","IGKV3.11","BACH2","PTGER4","IGKV3.20","USP3","WDR74","LYPD3","YPEL3","ZNF331","ARL4C","BCL2","PITPNC1","RBMS1","NUCB2","CD5","SESN3","RASA3","CAMK4","ATXN7","IGLV2.14","RGCC"
"tnk_67","HLA.DRA","MS4A1","CD79A","HLA.DRB1","HLA.DQB1","VPREB3","IGHM","MEF2C","HLA.DPB1","HLA.DQA1","HLA.DPA1","BANK1","SMIM14","CD79B","TNFRSF13C","MARCH1","HLA.DMA","IRF8","IGHA1","POU2F2","LY86","BASP1","ADAM28","HLA.DMB","CD83","RALGPS2","NCF1","IGHA2","TCF4","POU2AF1","BLK","IGLC3","GNG7","ORAI2","DRAM2","RNASE6","LYL1","PRKCB","CTSH","SPIB","LYN","STX7","CD40","IGLC2","SWAP70","IFT57","CLECL1","DERL3","PKIG","CHCHD10"
"b_1","HLA.DRA","MALAT1","B2M","CD74","FTH1","FTL","CXCR4","ACTB","IGKC","CD52","HLA.DPB1","CD37","HLA.DPA1","TSC22D3","CYBA","OAZ1","HLA.DRB1","TXNIP","DUSP1","CD79A","HLA.DQB1","ZFP36L2","JUNB","CD69","LAPTM5","ZFAS1","DDX5","HLA.DQA1","IGHM","IGHA1","PNRC1","MS4A1","LTB","FOS","VPREB3","ARHGDIB","SAT1","CALM2","SH3BGRL3","EIF4A2","JUN","KLF2","CORO1A","HMGN1","KLF6","SRSF5","ANAPC16","JCHAIN","CD48","CD53"
"b_2","DERL3","SEC11C","MZB1","SPCS1","GSTP1","FKBP11","CD74","VIM","FKBP2","FTH1","PRDX4","OAZ1","FTL","ACTB","CD79A","B2M","HM13","JCHAIN","MALAT1","XBP1","CYBA","ISG20","TSC22D3","IGHA1","SRGN","PLPP5","SDF2L1","JUN","TNFRSF17","DDOST","PDIA4","PPP1R15A","DNAJB1","CLIC1","ZFP36L2","IGHA2","FXYD5","ZFP36","LGALS1","ITM2C","EMP3","BTG2","BST2","MANF","SEC61G","DUSP1","JUNB","NFKBIA","LSP1","DDX5"
"b_3","JUNB","ZFP36","HLA.DRB1","LAPTM5","HLA.DPA1","HLA.DQA1","HLA.DPB1","CD37","MS4A1","TSC22D3","HLA.DQB1","HLA.DRB5","ACTB","FXYD5","HLA.DRA","FTL","FTH1","OAZ1","MALAT1","CD74","B2M","ARHGDIB","CD79A","POLD4","FOS","CD52","SH3BGRL3","PTPRC","SYNGR2","DDX5","SLC2A3","CD83","LIMD2","RAC2","PPP1R15A","DAZAP2","TXNIP","FCMR","JUN","HLA.DMA","NCF1","EZR","CXCR4","CD69","CORO1A","NR4A2","EIF3F","BANK1","CD55","KLF6"
"b_4","HMGN1","CORO1A","ACTB","MARCKSL1","OAZ1","DBI","LIMD2","BASP1","ARHGDIB","HLA.DRA","ARPC5","COX6C","CD74","FTH1","RAN","ARPC1B","B2M","LAPTM5","HMGA1","SH3BGRL3","TCEA1","POMP","CD52","UCP2","COX7A2","HLA.DPB1","TCL1A","FTL","GNG5","CALM2","EIF3F","LDHB","COTL1","CD79A","ISG20","CD79B","CYBA","HLA.DPA1","CD37","MALAT1","GSTP1","RAC2","HNRNPK","H2AFZ","SEC61G","SMIM14","LTB","RBM3","IGKC","PKM"
"b_5","CREM","KDM6B","EZR","SRGN","NR4A1","CD55","CSRNP1","ADGRE5","TAGLN2","CDKN1A","SLBP","ODC1","SQSTM1","NR4A2","CMTM6","MCL1","LRRFIP1","SKIL","CRIP1","DDX21","NFKBIA","ZNF331","MAP3K8","NFKBID","TUBA1B","TUBB4B","KLF6","DUSP2","PNRC1","RELB","LY9","PRNP","REL","SRSF7","ELF1","PDE4B","JUND","RAB11FIP1","SAMSN1","ARID5A","ZFP36","CD44","RASGEF1B","IL2RG","CD48","PIM3","KMT2E","ARF6","FNBP1","RBM39"
"b_6","CD79B","HLA.DMB","SELL","ANXA6","CD22","EVL","HVCN1","PTPN6","CD48","ICAM3","ACAP1","IFITM2","RAC2","PLAC8","CD19","LSP1","LY86","TRAF3IP3","POU2F2","CYB561A3","BIN1","MARCH1","NCF1","ARPC1B","FCER2","GAPT","PDLIM1","SP110","CORO1A","CLIC1","HLA.DOB","BANK1","CTSS","GPSM3","LTB","PSMB9","MS4A1","LYL1","CHI3L2","CD72","VASP","EIF3L","GYPC","CASP4","RCSD1","SP100","COTL1","GMFG","GABPB1.AS1","C1orf162"
"b_7","MZB1","JCHAIN","NEAT1","XBP1","IGHA1","MALAT1","IGKC","B2M","FKBP11","FKBP2","FTL","DERL3","CYBA","SEC11C","TSC22D3","SPCS1","BTG2","FOS","SEC61G","ANKRD28","VIM","JUN","IGHA2","FTH1","SDF2L1","SRGN","OAZ1","PRDM1","TNFRSF17","ISG20","LGALS1","DUSP1","RGS1","ZFP36L2","IGLC2","DDX5","FOSB","JUND","RRBP1","COX7A2","TXNIP","CD74","MCL1","GSTP1","IGLC3","HNRNPH1","MANF","ZFP36","PRDX4","PIM2"
