"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"epi_16","C10orf99","HMGCS2","SLC26A2","SLC39A5","ADH1C","SULT1B1","PCK1","CHP2","SELENBP1","CA2","NXPE4","CA12","ACADS","MAOA","LGALS2","AKR1B10","ENTPD5","MYO1A","METTL7A","MUC4","EPHX2","NDRG2","PAPSS2","GGT6","DHRS11","SATB2","TCEA3","RAB32","NOX1","PPP1R14D","UGT2B17","DENND2A","PGM1","LEFTY1","CMBL","FABP2","GPT","AKR1C3","HSD11B2","CFTR","DDC","PIGZ","CKMT1B","PRKACB","VSIG2","SULT1A1","RNF186","SIAE","PLA2G2A","APOBR"
"epi_17","ANXA1","EMP1","KLK10","DUSP4","RHOF","PLAUR","SERPINB5","KRT7","PLA2G16","F3","TM4SF1","MSLN","GJB3","CXCL8","TRIM29","CXCL16","C4BPB","PRSS22","MYOF","ISG20","SDR16C5","GCNT3","SLC2A1","LMTK3","LAMC2","EPHA2","CYTOR","MDFI","CDA","SULT2B1","RHOD","KRT80","EPS8L1","IFI6","TNFRSF12A","PHLDA1","AHNAK2","TYMP","CXCL1","MMP7","MET","KCNK1","LAMA3","FXYD5","DUSP5","TIMP2","PHLDA3","CD68","RRAS","FOXQ1"
"epi_18","DPEP1","KRT23","ASCL2","TNNC2","YAE1D1","FARP1","AXIN2","SLC39A5","PRAP1","ARID3A","ATP9A","AOAH","MPP1","PRR15","C2","QPRT","TMEM176A","NEK3","EPSTI1","PDRG1","PPP1R14D","CDHR1","ACOT8","C10orf99","HILPDA","TMEM176B","CFTR","EREG","SUPT20H","PMEPA1","PLAGL2","TDGF1","PLTP","SLC6A6","DDC","FTX","VAV3","RAE1","ETV4","GPSM2","STK4","MOGAT3","ARFGAP1","STX16","TP53RK","SRPX2","FABP1","ZMYND8","SPATA13","FAM217B"
"epi_19","HELLS","GINS2","E2F1","UHRF1","CDC6","FEN1","MCM5","BRCA1","MCM6","CLSPN","ATAD2","MCM4","ORC6","ASF1B","CDT1","CHAF1A","MCM2","CENPM","FAM111B","DTL","TYMS","DHFR","CENPU","PKMYT1","BRCA2","ZWINT","TK1","CENPK","LIG1","UBE2T","ATAD5","CDC45","DNMT1","RFC2","TCF19","RAD51AP1","RFC4","CHEK1","RFC3","PCLAF","MCM10","DSN1","MYBL2","FANCA","BARD1","CDK1","RMI2","FANCI","TIMELESS","RRM1"
"epi_20","MEX3A","MAP7D2","ZBTB10","SCRN1","RNF157","SATB2","PTPRD","GAL","HCG11","FHDC1","ASAP1","EREG","ZNF704","DSC3","PTK7","RDX","SYNE4","LRRCC1","GNG4","DNAH14","TAF4","PRKACB","TTI1","MPP6","APOLD1","ST6GAL1","G0S2","PTP4A3","HUNK","GZMB","PCSK1N","SLC26A2","DSN1","SLC20A2","MCM4","XPO5","SPAG1","PM20D2","PDE7A","GPANK1","TGIF2","OTUD6B","SEMA5A","RFWD3","OSGIN2","RBL1","E2F3","PKN1","BCL11A","ARID3A"
"epi_21","OLFM4","HLA.DRA","HLA.DRB1","CFD","CA9","JAG1","NUDT8","ALDOB","MUC17","HLA.DPA1","HLA.DMA","BIRC3","NECTIN3","CEMIP","HLA.DPB1","IGHG4","CLDN2","MUC1","KIF13A","TNS4","CCDC88B","CASP1","CPNE7","SLCO1B3","SAMD5","GSDMB","MPZL2","GBP3","DUOX2","HLA.DQB1","HSD3B7","TMEM139","TYMP","LRP4","HKDC1","GATM","ERAP2","BOK","IFI16","RARRES3","PYGL","SLC6A8","DPEP1","TMC8","NPNT","TM4SF20","BLVRA","APOL1","LZTS3","SLC3A1"
"epi_22","REG4","MUC2","FCGBP","TRIM7","REG1A","KDELR3","MLPH","PLA2G2A","L1TD1","MATN2","PCCA","CREB3L1","ASRGL1","REG3A","IQGAP2","OXCT1","ERN2","PALLD","KCNK6","SPDEF","SLC27A2","LYZ","MUC4","SPINK4","TNFRSF11A","ANG","PTGER2","MXD4","FSCN1","ANKRD37","CTSE","KLF2","TPGS1","NR4A2","ECI2","COMMD3","AGR3","ATP2A3","TMEM263","KIAA1324","FAM114A1","FBXO32","ECI1","CTNNBIP1","DACH1","DEGS2","TPBG","STIM2","PROM1","LRRC75A"
"epi_23","TOP2A","NUSAP1","CENPF","ASPM","MKI67","CCNA2","TPX2","BIRC5","HMMR","GTSE1","AURKB","UBE2C","CEP55","PBK","CENPE","ARHGAP11A","PLK1","DLGAP5","PRC1","ANLN","CDC20","KIF11","TACC3","DEPDC1","CCNB1","CDCA8","CDK1","NEK2","FOXM1","NUF2","CDKN3","KIF20B","RACGAP1","CENPA","KIF4A","CDCA3","KIF23","RRM2","KIF2C","CKAP2","KIFC1","PTTG1","SGO2","SGO1","IQGAP3","CCNB2","BUB1","MAD2L1","KIF14","NCAPG"
"epi_24","MUC3A","FN3K","COX16","LEFTY1","POLD4","UQCRHL","WBP1","RAB24","RNASE4","IFITM1","PROM1","PSMB10","WNK4","WASHC1","CYP51A1","TCF12","MYO7B","UTRN","NT5E","DBNDD2","NBPF14","TVP23B","LAMB1","RAD50","TMC4","HAUS4","SOD3","KIF12","CAPN12","UCP2","PAGR1","SCG5","TRAF5","RAC2","MAN2B1","SLC40A1","ZNF749","SMARCE1","DMKN","ACY1","ABHD16A","HIST1H1E","CALML4","WDR72","ARHGEF38","HOXB5","SVIL","CBWD2","SEZ6L2","HOXB3"
"epi_25","REP15","ITLN1","LRRC26","HEPACAM2","SPDEF","ATOH1","TPSG1","CLCA1","KLK1","RAP1GAP","FABP2","RETNLB","WFDC2","ENTPD8","NEURL1","AQP3","RASD1","BCAS1","FFAR4","ZG16","B3GNT6","TMEM61","MB","KCNMA1","GALNT8","RAB27A","CAPN9","ANO7","FMOD","MUC4","DNAJC12","FRZB","FAM174B","HID1","RAB26","ANXA13","GNE","ATP2A3","KLK12","ALDH1A1","ST3GAL4","SLC9A3R2","BEST2","LYPD8","IL1R2","SLC2A10","DLL1","RNASE1","CREB3L4","MCF2L"
"epi_26","PRDX4","NDUFA9","DDOST","CCT7","EBP","HEXB","EBPL","KRTCAP3","HSD17B10","PLPP2","TECR","ALG5","SYNGR2","CCT5","ATP1B3","SEC11C","CNPY2","C19orf24","CD151","REXO2","PPA2","POLR2E","IDH2","MDH1","NAA10","AIMP1","GMDS","AUP1","XRCC6","CACYBP","ODC1","MANF","SRP72","MGST2","MRPL4","MRPS15","MRPS35","TMED3","DECR1","SNRPB2","POLR2G","UBXN4","TMEM179B","AP1S1","PSMC4","METTL5","PHB2","ALDH2","NAA20","NANS"
"epi_32","N4BP2L2","POLR2J3","CCDC14","RSRP1","ZBTB20","ZFHX3","IGHA1","SKAP2","AKAP9","RASSF6","PTPN18","RICTOR","FTX","YPEL3","ARID1B","ANXA13","TMEM63A","SOX9","HOXB6","TXNIP","IL13RA1","ARGLU1","KANSL1","TNRC6B","IFT172","GABPB1.AS1","MAP7","PBX1","KMT2E","IFI6","NHLRC3","BCL11A","CHPT1","CDH17","TRIM56","GCC2","LPP","SOX4","BAZ2B","SPTLC2","BBX","ATRX","CHD9","CNN3","AOC1","TGOLN2","SNRNP27","CHDH","CC2D1A","PHIP"
"epi_34","TNNC2","KRT23","EREG","DAB2","LAPTM4B","BNIP3","TIMP3","ASCL2","TGFBR2","QPRT","RNF43","PRAP1","CEACAM6","C8orf33","SATB2","ZBTB10","PCSK1N","MYC","PTP4A3","PRAC1","MXI1","ZMYND8","CXCL14","FAM210B","ENAH","ARID3A","VAV3","FAM84B","STX16","RGCC","IFITM1","TRIB1","C10orf99","PDP1","RNF170","RB1CC1","HELZ2","C8orf82","TM4SF1","PCAT1","GALNT6","GPR160","FNTA","GZMB","CXADR","YPEL3","CEBPA","FAM83H","POLR2J3","PYGB"
"epi_35","SERPINE2","PMEPA1","PLOD2","VEGFA","PRSS23","TM4SF1","EMP1","PIM1","P4HA1","PARD6B","CCL20","PRAP1","ERO1A","CEBPB","HKDC1","KIAA1551","EREG","RAB22A","ARID3A","DPEP1","CEACAM1","SLC40A1","KDM3A","GABRE","DDIT3","SLC11A2","ATP10B","DUOX2","SLC6A8","AREG","NDRG1","PDP1","USP53","CHMP4C","COL17A1","ERBIN","SLC2A1","HHLA2","SESTD1","KRT80","TNFRSF12A","TRIM31","RND3","OLFM4","ZNF292","PLAUR","SLC3A2","PLIN2","ZNF217","FNDC3B"
"epi_36","TACSTD2","KRT7","MMP7","CRIP2","ANXA1","AREG","EDN1","PLA2G16","HES4","REG4","CXCL8","TM4SF1","MACC1","CAPS","RAMP1","CYTOR","SOD3","FAM84B","CXCL1","PHLDA1","LYZ","NDUFA4L2","LGALS1","INO80C","EPHA2","TFF2","FRMD4B","MUC3A","PLAUR","PHLDA3","TNFRSF12A","KRT17","CAV2","AQP3","ANXA13","AQP5","PIM1","NXPH4","CDC42EP1","RAP2B","PRAC1","ACAA2","ITGB8","ASAP1","FSCN1","TRIB1","C6orf132","PAM","DUSP4","ST3GAL4"
"epi_40","PTPRO","L1TD1","NUPR1","EPHB3","LEFTY1","AXDND1","FIBCD1","EIF1AY","SOD3","OLFM4","UPK3A","NCF4","NOX1","CDHR1","C10orf99","PIGR","PCLAF","RAB32","AIFM3","MUC1","PCK1","PRAC2","PTPRD","GINS2","SREBF1","ST6GALNAC1","HUNK","MUC5B","LINC00668","CAMK1D","EPHX2","CFTR","ECI2","GGT6","LIPG","MESP1","CDT1","PPP1R14C","MAP9","ST6GAL1","MPV17L","LRP4","HES4","LGR5","TK1","RGMB","STXBP6","TFCP2L1","URAD","DHFR"
"epi_41","TESC","BST2","COL9A3","ASCL2","HOXB8","NKD1","TGFBI","TDGF1","QPRT","ISG15","PHLDA1","DPEP1","PLIN2","EPSTI1","IFI6","IFITM2","ANXA6","MX1","GMPR","SNRPN","SMOC2","IFI16","IL2RG","PLEKHB1","CLDN2","UBE2L6","HOXB9","PHF11","MYLIP","IFI44","CTNNBIP1","TRIP6","HOXB7","ARID5A","CMTM8","IFI44L","HOXB6","RNF43","GOLT1A","PROM1","PSMB9","IGF2BP2","GGPS1","HLA.F","BMP4","EIF2AK2","TSC22D3","OAS1","PPIC","PLCB4"
"epi_42","PTGDR","RARRES2","ADH1C","RGMB","AQP1","L1TD1","PTPRO","LEFTY1","OLFM4","XIST","UGT2B17","GLIPR2","URAD","ALDH1B1","CDCA7","PFN2","BEX4","EDIL3","KIAA1324","BEX2","UGT2A3","SORBS2","SYCE1L","HMGCS2","ZNF814","EPHB3","SATB2.AS1","PLAGL1","GMNN","BCL2","IGHA2","CPA6","NREP","GINS2","SLCO3A1","SPINK2","FOXA1","NOS2","GSTM3","PKDCC","MCM5","SERPINA6","SLC4A4","RMI2","SLC39A2","SCN9A","DRAIC","ZSCAN18","ZNF43","HSD17B8"
"epi_43","RAMP1","SERPINA1","AZGP1","TESC","TUBA1A","WFDC2","MIB2","TFF1","DUSP4","LCK","CDKN2A","PLEKHB1","GSN","DPYSL2","THOP1","LTBP3","POLR2J3","MDK","ST3GAL4","ICA1","AQP5","SPON2","TNNT1","STX1A","TMEM99","STMN3","DNAJC12","TNFRSF11B","UCP2","KRT23","HES6","RBM38","NR4A2","ASPHD1","TPGS1","IFI6","CDC25B","C8orf82","TMEM176A","SEC11C","S100A13","FBXO32","NPDC1","ZNF428","PODXL2","PTPRN2","HOTAIRM1","KRT7","QPCT","TIMP1"
"epi_44","DBNDD2","POLD4","RAB24","ZGPAT","MUC3A","LY6G6D","CCL24","CKMT2","UQCRHL","COX16","PAGR1","TIMP3","CYP51A1","AMACR","HAUS4","RNASEH2A","FGGY","PLTP","KRT23","SLC39A5","DNAJC25.GNG10","FN3K","ACY1","PSPH","DPEP1","FABP6","RAD50","SDR39U1","ACOT2","SLC38A5","PROCR","PTPRO","AREG","TDGF1","HIST1H2BK","ADSL","KRT20","TNNC2","WBP1","DMKN","CBWD2","RNASE4","CDHR1","CLDN15","C10orf99","GPHN","ARHGEF38","IFITM1","NLE1","CEMIP"
"epi_45","FAM3B","TNNC2","MPP1","PRAP1","GNG4","DEFB1","GZMB","C2","QPRT","KRT23","YPEL3","IL2RG","CYP27A1","ACSS1","CES1","PCSK1N","SERPINE2","MEP1A","PLTP","SMIM24","KRT20","ACSL6","TIMP3","BEX2","AGT","SLC1A7","TM4SF5","RBP2","TSPAN7","F10","VAV3","QPCT","AC005921.2","ARID3A","ESPN","MYL9","BEX4","SLC39A5","RBBP8NL","BCAS4","CLDN15","AOAH","APOBEC3C","PCK1","TLE2","CLU","PLA2G12B","CHP2","IYD","GGT7"
"epi_46","KRT23","TESC","COL9A3","KLK6","ANXA6","COL17A1","TNNC2","LEMD1","NKD1","TMEM255B","ECM1","SULT2B1","PRSS22","CRAT","CCL24","ZGPAT","FN3K","IL22RA1","TFPT","SFXN3","GNG4","GABRE","WBP1","DBNDD2","KLK10","POLD4","BMP4","CDA","MUC20","SERPINF1","ECE1","TUBA1A","SERPINF2","PLA2G16","CYP27A1","RAB24","MYO7B","DNASE1","PRAP1","NRN1","MPP1","EPB41L1","PPP1R18","RAC2","CCDC122","AHNAK2","ENO2","LAMA5","BNIP3","F10"
"epi_49","URAD","HMGCS2","VSIG2","PIGR","LEFTY1","UGT2B17","ADH1C","UGT2A3","RARRES2","XIST","ZG16","SLC4A4","GMNN","SATB2","CHP2","C10orf99","RHOBTB3","AMN","PBX1","GOLM1","PTPRF","IGHA1","POLR2J3","JCHAIN","ABCC3","TRABD2A","SLC39A5","MUC4","HEPACAM2","TMEM176B","LPP","CA12","NOTCH2NL","MARCKS","RARRES1","WNK2","SLC44A1","IGFBP2","ATP8B1","AGR3","METTL7A","TMEM176A","SPIB","GNPTAB","CA2","FABP1","NOTCH2","CHPT1","LGALS9","PCK1"
"epi_50","TNNC2","GNG4","MPP1","GZMB","QPRT","ASCL2","PRAP1","VAV3","PLTP","C2","DPEP1","PRR15","KRT23","FAM3B","BEX2","EPSTI1","ARID3A","TRIM54","TLE2","BNIP3","NOX1","ESPN","PTPRO","SATB2","SERPINE2","SMIM24","FGGY","CKMT2","SLC39A5","CLDN15","TDGF1","PRSS23","YAE1D1","SRPX2","FABP6","ACSL6","ACOT8","PROCR","TIMP3","DDC","PCSK1N","AZGP1","PLA2G12B","KRT20","MEP1A","PEPD","BEX4","MAP7D2","IL2RG","TOP1MT"
"epi_53","ITLN1","HEPACAM2","PROX1","RASD1","CADPS","TUBA1A","MAN1A1","KCTD12","PBXIP1","SYT13","L1TD1","NEURL1","TMEM132A","DBN1","HOXA10","RASSF6","GADD45A","HOXA9","ITGB8","GCH1","INSM1","RFX3","DUSP4","ZBTB20","PODXL2","TOX","RAB26","DACH1","MBOAT2","PLEKHB1","IFI6","TMEM61","CDKN1C","KLHL24","MS4A8","FBXO32","SEZ6L2","ELL2","GADD45G","MICAL1","SPINK4","ONECUT2","TP53I3","STXBP1","RBFOX2","CA8","PHLDA1","KIF19","HIPK2","RHOBTB3"
"epi_55","CLDN18","MUC6","SCG5","SLC4A4","ITM2A","BST2","RAMP1","DUSP27","AFAP1.AS1","NEU4","PLCG2","AKR1B1","CBFA2T3","NDUFA4L2","MSX1","TCEAL3","SMAD9","FMOD","GSTM3","PHGDH","RAB26","ALDH1L1","BNIP3","SOBP","LPCAT1","HOPX","BEX2","ARC","GP2","MXRA7","IRX2","NTN4","ZG16","PLXDC2","PKDCC","DZIP3","HYAL1","BEX5","TRIM72","STC2","OGFRL1","CYR61","SPON1","ZBTB7C","PLEKHB1","CHRNA7","TOX","SOCS1","CASP1","HOTAIRM1"
"epi_56","TYMS","HELLS","FEN1","GINS2","CDT1","MCM5","CLSPN","UHRF1","PCLAF","CENPM","MCM6","CDC6","ZWINT","ASF1B","TK1","CHAF1A","E2F1","CENPU","MCM4","RRM2","RFC2","HES4","WDR76","DHFR","DNMT1","FANCA","RMI2","RFC4","ATAD2","TCF19","UBE2T","GMNN","RRM1","MCM2","LIG1","SAC3D1","CDK1","CDC45","NUDT8","EZH2","DTL","PKMYT1","MCM7","CHAF1B","BRCA1","WDR34","PCNA","LMNB1","ALYREF","LRRC26"
"epi_57","CXCL14","BNIP3","TNNC2","EREG","PTP4A3","PRAC1","GAL","KRT23","ABCA7","PCAT1","SLC39A8","BST2","PTPRO","GSTM3","RIDA","PFN2","PCSK1N","METRN","DAB2","LAPTM4B","TIMP3","VAV3","RBP2","TGFBR2","ASCL2","PSPH","POLR2J3","ENAH","BMP7","RARRES2","SLC27A5","PID1","CKMT2","PM20D2","QPRT","ABCB1","DMKN","GZMB","MX1","SATB2","TCEA2","ERP27","AK4","IFI6","CITED4","MXI1","NUPR1","RBPMS","NDUFAF6","NKX2.1"
"epi_58","BST2","TESC","MX1","CLDN2","HOXB8","MIA","IFI44","IFI44L","TDGF1","POLR2J3","CTHRC1","EPSTI1","IFI16","TBXAS1","TACSTD2","CORO1A","SKAP1","IL2RG","IFI6","IFIT3","HMGA2","HOXA7","CAPN6","SP110","COL9A3","PLCB4","GMPR","PARP14","PHF11","AZGP1","CHRM3","QPRT","HOXB3","HOXB7","OAS2","HOXB6","TLE4","PLIN2","NEK3","CTNNBIP1","OLFM4","SESN1","IRF7","FARP1","ASRGL1","XAF1","PHLDA1","C1orf21","HLA.F","HOXA10"
"epi_62","MUC3A","PRAC1","B3GNT7","FN3K","LEFTY1","ADH1C","NXPE4","TFCP2L1","HOXB13","AREG","PDK4","NUPR1","RARRES2","MUC4","MMP28","MUC5B","PLK2","PER1","CSRNP1","NRARP","NXPE1","COX16","PLLP","NR4A2","SNHG12","DHRS4","SEMA6A","SLC4A4","SLC39A5","VSIG2","LIMK2","WFDC2","B4GALNT3","MUC12","ATP2A3","PDE3A","IFITM1","CPM","ZBTB10","TMEM171","POLD4","KCNN4","RASD1","HOTAIRM1","SPAG16","DBNDD2","MIR22HG","EPHA2","ZC3H12A","H2AFX"
"epi_64","GUCA2A","CEACAM7","CA4","LYPD8","GUCA2B","CDKN2B.AS1","SLC26A3","DHRS9","C2orf88","MS4A12","CA1","HRCT1","CLCA4","HSD17B2","CTSE","CA7","SAMD9","MEP1A","SCIN","HPGD","BEST4","SGK1","SPIB","OTOP2","CD177","ZG16","CDA","SLC51B","CLDN23","CCNYL1","HES4","TMEM37","PDLIM2","CHP2","HEPACAM2","CPM","PRAP1","MXI1","SLC17A4","BTNL8","CDKN2B","DHRS11","CLIC5","RHOF","EMP1","PDE9A","IL2RG","AQP8","NEURL1","FRMD1"
"epi_68","HELLS","BRCA1","ATAD5","CLSPN","CHAF1A","C21orf58","ANKRD36C","FANCA","ATAD2","MCM4","DDX11","BRCA2","WDR90","CDC6","RECQL4","AHI1","MKI67","FAM111B","KNTC1","MCM5","HIST1H1E","MCM7","LIG1","MYO19","ORC6","WDR34","DNMT1","WDR76","E2F1","HIST1H1D","MCM10","DTL","UHRF1","POLD3","SNHG12","CEP152","POLE","FANCI","SMC4","CENPU","EZH2","TCF19","XRCC2","HIST1H2AG","ZNF367","TONSL","ZWINT","FEN1","GINS2","CDT1"
"epi_72","COL9A3","ALDH1A1","NOTUM","KRT23","SPON2","MFAP2","WDR72","FKBP10","TPPP3","NES","DMKN","TLE2","KIZ","SLC39A5","SERPINF1","CYP2W1","NKD1","IGF2BP3","LAMA5","ABCB1","PLTP","SULT2B1","LEF1","TPM2","BAMBI","CYP4F2","SLC17A9","IGF2BP1","KRT17","CYP27A1","CCL24","RARRES2","TNNC2","INHBB","TESC","FOLR1","WFS1","GUCA2A","BST2","PCED1A","DBNDD2","STRA6","DPEP1","APCDD1","CDKN2A","LRP1","PLCB1","APOD","POLD4","GALNT6"
"epi_73","TMEM238","EIF1AY","POLR2J3","CEL","AC005921.2","TMEM19","GZMB","DDX3Y","GNG4","IL2RG","AKR1B1","CKMT2","CPE","SERPINE2","FOXQ1","ARID3A","LGR5","SLCO3A1","RBMS1","CES1","SLC26A2","CYP2W1","PLTP","PLAGL1","NOX1","TIMP3","ZBTB10","AQP1","PFN2","TGM2","SATB2","PPP1R14C","PRSS23","APOLD1","ZCCHC24","FAM107B","FZD3","PM20D2","TLE2","RETNLB","ZNF503","PPP1R3B","IGF1R","ITPR2","NCOA3","MAP3K12","BEX2","LAMA5","RNF217","ACE2"
"epi_74","ANXA10","CTSE","MSLN","DPP4","BST2","ANXA13","LGALS2","SMIM24","LEMD1","CDKN2A","PRAP1","TM4SF4","TFPI","CRIP2","WDR72","SDR16C5","TPPP3","APOD","TACSTD2","RAMP1","TM4SF5","REG4","COL6A1","ECM1","AKR1C3","HSD17B2","MUC5B","MS4A8","MELTF","CAV2","XRCC4","GJB2","PTPRN2","CLU","FIBCD1","MUC17","TMEM92","CDA","PLLP","CORO1A","ALDH1A1","ATP11A","LINC00467","MUC3A","FUOM","ZNF83","TMEM154","RBBP8NL","TM4SF20","GDA"
"epi_75","BST2","RARRES3","HLA.DRA","HLA.DPA1","HLA.DMA","UBE2L6","HLA.DRB1","HLA.DPB1","GBP1","MX1","HLA.DQB1","XAF1","OAS2","SAA1","IFI44L","EPSTI1","IFIT3","APOL1","IFI44","PARP9","TAP2","ETV7","SAMD9L","CMPK2","WARS","OAS3","ODF3B","CASP1","PARP14","TRIM7","CARD16","GBP4","USP18","GBP2","SAA2","HLA.DMB","TMEM238","GSDMB","BIRC3","MUC4","SAMD9","HLA.DRB5","POLR2J3","DDX60","LINC00467","TNNT1","SP110","APOL2","TRIM22","PARP12"
"epi_76","RBP4","JCHAIN","XIST","IGHG3","SPINK4","RAMP1","REG4","SERPINE2","PRAC1","WFDC3","IGHG1","IGHA2","CDKN2A","CRIP2","AMIGO2","POLR2J3","TACSTD2","IGHM","IGLC3","IGHA1","LGALS2","IGLC2","YPEL3","CCDC91","HIST2H2AA3","TM4SF5","TCTEX1D2","IGLC7","AKR1C3","CITED4","NPW","AC005921.2","CCND2","TFAP2A","TM4SF4","ARHGDIB","HIST1H2BD","MS4A8","PMEPA1","LAPTM4B","OPN3","TPPP3","DPYSL2","KRT7","IER5","PLTP","RPP21","NDUFA7","NQO2","EDN1"
"epi_77","FTX","PROX1","C2","ARID3A","BEX2","POLR2J3","CADPS","PBX1","MEP1A","AXIN2","MYEF2","CCL20","MAN1A1","SERPINE2","DAPK2","NKD1","PRSS23","ITPR2","TNNC2","FN1","TMEM238","SESN3","KIAA0355","GPR155","MPP1","IYD","ATP9A","CCND2","SLC6A6","CBFA2T2","UTRN","SATB2","ZBTB20","PTCH1","PCLO","KLHL24","FARP1","DNASE1","ZNF503","ABCA5","TLE2","SLC39A5","ZBTB10","ENGASE","NCOA3","MAP2K6","KHDRBS3","ASCL2","F10","TTC14"
"epi_78","REG4","FSCN1","SPINK4","ALDH1L1","DUSP4","FAM177B","MUC2","CA9","PMP22","CCL24","MUC3A","C4BPB","NRN1","DSC3","SPDEF","CTSE","CDKN2A","F3","SERPINB5","TNS4","PCCA","FMOD","LINC00467","IFI6","MLPH","S100A2","HOXB2","IFI16","MUC5B","CFD","CRIP1","TESC","RAB27B","GPX8","PALLD","MYEOV","COX16","SULT1B1","CAPN12","B3GNT6","HS3ST1","LTBP4","ADAM8","PKDCC","EML2","EGFL7","ANXA1","PPFIBP1","SIPA1L2","PDE4DIP"
"epi_79","CD3E","CD3D","PTPRC","TRBC2","CCL5","CD52","CD69","CD2","CXCR4","EVL","VIM","HCST","FYB1","LAPTM5","GZMA","CORO1A","CD37","NKG7","ARHGDIB","ACAP1","TRAC","CST7","CD3G","CCL4","GMFG","LSP1","GYPC","KLRB1","LCP1","SPOCK2","RAC2","LIMD2","LCK","CD53","CYTIP","FYN","ETS1","CD8A","IKZF1","SLA","IKZF3","CD247","LCP2","TBC1D10C","WIPF1","CD96","RUNX3","CLEC2D","TIGIT","CTSW"
"epi_80","FKBP10","COL6A1","CRABP2","COL1A1","TNNT1","COL3A1","COL1A2","BST2","IGFBP6","SPARC","TPPP3","DEFB1","ASPHD1","SPON2","TACSTD2","DMKN","WFDC2","ALDH1A1","FSCN1","LGALS1","DNM1","DCBLD2","BMP7","KLK8","BMP4","LUM","IGFBP3","KLK6","TPM2","TNNI3","IGFBP7","ONECUT3","CALD1","TM4SF4","ANO1","PFN2","QPCT","KLK11","CAV2","BAMBI","SPON1","KRT16","MSLN","PRNP","IER5L","ENO2","XIST","KRT6B","LTBP3","LAMA5"
"epi_81","SRGN","RGS1","VIM","LAPTM5","CD52","TSC22D3","CXCR4","PTPRC","HLA.DPB1","HLA.DPA1","GMFG","CD37","CD7","ARHGDIB","LSP1","CYTIP","CD53","ALOX5AP","CD69","CORO1A","LGALS1","LCP1","HLA.DQA1","EMP3","CD48","TNFAIP3","LTB","TYROBP","GYPC","RAC2","CD3D","HLA.DRA","FYB1","HCST","HLA.DRB1","PRDM1","HCLS1","EVL","SAMSN1","TRBC2","SLC2A3","IL7R","HLA.DQB1","WIPF1","GPSM3","LIMD2","CCL5","FCER1G","STK17B","CLEC2B"
"epi_82","HES4","LRRC26","TRIM7","METRN","TNNT1","FIBCD1","FFAR4","CFD","CNFN","SPDEF","MESP1","WDR24","DENND2A","PI3","ENO2","ABCA7","BST2","SLC28A2","NXPH4","CRIP1","GPC1","AC005256.1","HOXB3","TMEM238","ANXA1","PAPSS2","VWA1","OXCT1","ALDH1L1","MRAP2","TYMS","SYTL1","IRX2","RIMKLA","MUC5B","HBA2","PAQR4","SOD3","C8G","SLC2A4RG","SAC3D1","PCLAF","CA12","ADGRL1","NUDT8","SLC1A4","MUC4","HOXB6","ALDH1A1","NDUFA4L2"
"epi_85","LRMP","HCK","PTGS1","FYB1","SPIB","ALOX5AP","PLCG2","AVIL","ALOX5","AZGP1","HEPACAM2","PSTPIP2","POU2F3","IL17RB","HOTAIRM1","TUBA1A","PLEKHB1","DEFB1","C11orf53","ANXA1","PBXIP1","TMEM176B","GRK5","DPYSL3","NCMAP","TMEM176A","CD14","KLK11","ESPN","ACSL4","AFAP1L2","ADGRG6","CD300LF","UCP2","CCDC28B","KIT","BCAM","PTPRJ","CRIP1","GRASP","LIPG","PTPN6","PRNP","TLE4","COL27A1","CDHR5","B4GALNT4","CLIC5","TBC1D2B","RBM38"
"mye_1","NAMPT","SOD2","NEAT1","SAT1","MALAT1","FTH1","B2M","FTL","SRGN","ACTB","S100A9","S100A11","DUSP1","TYROBP","IL1B","IER3","NFKBIA","CXCL8","PLAUR","LYZ","BCL2A1","FCER1G","MCL1","PNRC1","FOS","OAZ1","HLA.DRA","ZFP36","CTSS","SH3BGRL3","SLC2A3","AIF1","TNFAIP3","CYBA","JUNB","CD44","SOCS3","LAPTM5","GLUL","S100A4","LITAF","CD74","SERPINA1","CEBPB","VIM","S100A8","TYMP","LGALS1","S100A10","LST1"
"mye_2","C1QC","C1QA","C1QB","TMEM176B","MS4A6A","DAB2","TMEM176A","MS4A4A","MS4A7","CSF1R","FCGRT","HLA.DQA1","CD14","CD68","SLCO2B1","LGMN","CTSC","HLA.DMA","HLA.DQB1","CD163","STAB1","MAFB","FCGR2A","HLA.DMB","CYBB","TGFBI","RNASET2","MFSD1","HLA.DPB1","HLA.DPA1","LIPA","ITGB2","CD4","HLA.DRB5","HLA.DRB1","LAIR1","VSIG4","AIF1","RNF130","CTSS","AKR1B1","CTSH","CTSA","ASAH1","SYNGR2","CPVL","FCGR3A","CXCL16","FGL2","CTSL"
